카테고리,제목,저자,정가,할인가,이미지
[국내도서],말하지 않고 말하기,김정운 (지은이) | 21세기북스 | 2026년 5월,"24,000","21,600원","['https://image.aladin.co.kr/product/39182/60/SpineShelf/K702138679_d.jpg', 'https://image.aladin.co.kr/product/39182/60/cover200/k702138679_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],흔한남매 방방곡곡 한국사 1,"흔한남매 (원작), 역사곰돌이 (글), 유난희 (그림), 미래엔 역사 교과서 집필진, 흔한컴퍼니 (감수) | 미래엔아이세움 | 2026년 3월","16,800","15,120원","['https://image.aladin.co.kr/product/38882/24/SpineShelf/K102137303_d.jpg', 'https://image.aladin.co.kr/product/38882/24/cover200/k102137303_1.jpg']"
[국내도서],죽음의 수용소 이후,"빅터 프랭클 (지은이), 유영미 (옮긴이) | 북하우스 | 2026년 6월","17,800","16,020원","['https://image.aladin.co.kr/product/39582/2/SpineShelf/K482139340_d.jpg', 'https://image.aladin.co.kr/product/39582/2/cover200/k482139340_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],구원에게,정영욱 (지은이) | 부크럼 | 2026년 2월,"18,000","16,200원","['https://image.aladin.co.kr/product/38559/40/SpineShelf/K122135952_d.jpg', 'https://image.aladin.co.kr/product/38559/40/cover200/k122135952_1.jpg']"
[국내도서],더 시스템,"18,000원 → 16,200원 (10%할인),  마일리지 900원",9.0,"16,200원","['https://image.aladin.co.kr/product/33039/96/SpineShelf/K232937683_d.jpg', 'https://image.aladin.co.kr/product/33039/96/cover200/k232937683_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 공단기 심슨 독해,심우철 (지은이) | 공단기(에스티유니타스) | 2026년 7월,"17,000","15,300원",['https://image.aladin.co.kr/product/39729/19/cover200/k692130800_1.jpg']
[국내도서],챗GPT·제미나이·클로드까지 모두를 위한 AI,지현이(디지털거북이) (지은이) | 시프트 | 2026년 7월,"22,000","19,800원","['https://image.aladin.co.kr/product/39703/87/SpineShelf/K172130496_d.jpg', 'https://image.aladin.co.kr/product/39703/87/cover200/k172130496_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],오디세이아,"니콜라 친퀘티 (지은이), 호메로스 (원작), 데시데리아 귀치아르디니 (그림), 이승수 (옮긴이) | 마음이음 | 2026년 8월","16,800","15,120원","['https://image.aladin.co.kr/product/39992/61/SpineShelf/K052130932_d.jpg', 'https://image.aladin.co.kr/product/39992/61/cover200/k052130932_1.jpg']"
[국내도서],망각 배터리 23,"에코 미카와 (지은이), 유유리 (옮긴이) | 서울미디어코믹스(서울문화사) | 2026년 8월","6,000","5,400원",['https://image.aladin.co.kr/product/40019/78/cover200/k342130338_1.jpg']
[국내도서],부처님 말씀대로 살아보니,"토니 페르난도 (지은이), 강정선 (옮긴이) | 윌마 | 2026년 2월","18,900","17,010원","['https://image.aladin.co.kr/product/38537/5/SpineShelf/K732135332_d.jpg', 'https://image.aladin.co.kr/product/38537/5/cover200/k732135332_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],무례한 세상에서 나를 지키는 법,"발타사르 그라시안 (지은이), 하와이 대저택 (편역) | 논픽션 | 2026년 3월","19,800","17,820원","['https://image.aladin.co.kr/product/38816/95/SpineShelf/K382137182_d.jpg', 'https://image.aladin.co.kr/product/38816/95/cover200/k382137182_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],제이크쌤의 28시간에 끝내는 토익스피킹 All in One,"황인기(제이크), 시원스쿨어학연구소 (지은이) | 시원스쿨닷컴 | 2026년 6월","17,900","16,110원","['https://image.aladin.co.kr/product/39480/15/SpineShelf/K352139316_d.jpg', 'https://image.aladin.co.kr/product/39480/15/cover200/k292139316_1.jpg']"
[국내도서],흑집사 35,토보소 야나 (지은이) | 학산문화사(만화) | 2026년 8월,"6,000","5,400원",['https://image.aladin.co.kr/product/39978/21/cover200/k282130624_1.jpg']
[국내도서],공부 천재들의 남다른 AI 활용법,"17,800원 → 16,020원 (10%할인),  마일리지 890원",9.8,"16,020원","['https://image.aladin.co.kr/product/39720/93/SpineShelf/K522130709_d.jpg', 'https://image.aladin.co.kr/product/39720/93/cover200/k522130709_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],삶은 그대에게 잘해줄 의무가 없다,"페마 초드론 (지은이), 신동숙 (옮긴이) | 윌마 | 2026년 7월","18,000","16,200원","['https://image.aladin.co.kr/product/39929/59/SpineShelf/K802130129_d.jpg', 'https://image.aladin.co.kr/product/39929/59/cover200/k802130129_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],에티의 여름,"루시 스티즈 (지은이), 노진선 (옮긴이) | 다산책방 | 2026년 8월","19,500","17,550원","['https://image.aladin.co.kr/product/39981/58/SpineShelf/K962130733_d.jpg', 'https://image.aladin.co.kr/product/39981/58/cover200/k962130733_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],노르웨이의 숲,"무라카미 하루키 (지은이), 양억관 (옮긴이) | 민음사 | 2017년 8월","17,000","15,300원","['https://image.aladin.co.kr/product/11561/49/SpineShelf/8937434482_d.jpg', 'https://image.aladin.co.kr/product/11561/49/cover200/8937434482_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],행복할 거야 이래도 되나 싶을 정도로,일홍 (지은이) | 부크럼 | 2024년 7월,"18,000","16,200원","['https://image.aladin.co.kr/product/34385/53/SpineShelf/K082932407_d.jpg', 'https://image.aladin.co.kr/product/34385/53/cover200/k082932407_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],가브리엘의 잉글리시 다이어리,Thomas Gabrielle Allanta (지은이) | 상상스퀘어 | 2025년 10월,"27,000","24,300원","['https://image.aladin.co.kr/product/37322/73/SpineShelf/K642031855_d.jpg', 'https://image.aladin.co.kr/product/37322/73/cover200/k642031855_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 황철곤 행정학 기본서 - 전2권,황철곤 (지은이) | 넥스트스터디(모두공북스) | 2026년 7월,"46,000","41,400원",['https://image.aladin.co.kr/product/39669/34/cover200/k982130295_1.jpg']
[국내도서],투자는 심리게임이다,"앙드레 코스톨라니 (지은이), 정진상 (옮긴이) | 미래의창 | 2023년 11월","15,000","13,500원","['https://image.aladin.co.kr/product/32782/31/SpineShelf/K672936488_d.jpg', 'https://image.aladin.co.kr/product/32782/31/cover200/k672936488_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 이동기 영어 독해 500제 - 전2권,"34,000원 → 30,600원 (10%할인),  마일리지 1,700원","3,940","30,600원",['https://image.aladin.co.kr/product/40039/24/cover200/k452130743_1.jpg']
[국내도서],일본어 무작정 따라하기 완전판,후지이 아사리 (지은이) | 길벗이지톡 | 2022년 8월,"26,000","23,400원","['https://image.aladin.co.kr/product/29877/32/SpineShelf/K712838735_d.jpg', 'https://image.aladin.co.kr/product/29877/32/cover200/k712838735_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],나미야 잡화점의 기적 (무선),"히가시노 게이고 (지은이), 양윤옥 (옮긴이) | 현대문학 | 2022년 12월","18,800","16,920원","['https://image.aladin.co.kr/product/30768/99/SpineShelf/K252830652_d.jpg', 'https://image.aladin.co.kr/product/30768/99/cover200/k252830652_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],ETS 토익 기출보카,ETS (엮은이) | (주)YBM(와이비엠) | 2026년 6월,"15,000","13,500원","['https://image.aladin.co.kr/product/39574/46/SpineShelf/8917244165_d.jpg', 'https://image.aladin.co.kr/product/39574/46/cover200/8917244165_1.jpg']"
[국내도서],출제 공식 29개로 끝내는 정재현 지텔프 Level 2,정재현어학연구소 (지은이) | 영단기(에스티유니타스) | 2023년 8월,"15,800","14,220원","['https://image.aladin.co.kr/product/32462/94/SpineShelf/K302935207_d.jpg', 'https://image.aladin.co.kr/product/32462/94/cover200/k302935207_2.jpg']"
[국내도서],아스파라거스,김양미 (지은이) | 문학동네 | 2026년 7월,"13,500","12,150원","['https://image.aladin.co.kr/product/39895/43/SpineShelf/K882130824_d.jpg', 'https://image.aladin.co.kr/product/39895/43/cover200/k882130824_1.jpg']"
[국내도서],누구에게나 가슴을 후벼파는 대사 한마디가 있다,정덕현 (지은이) | 서교책방 | 2026년 7월,"22,000","19,800원","['https://image.aladin.co.kr/product/39828/45/SpineShelf/K682130712_d.jpg', 'https://image.aladin.co.kr/product/39828/45/cover200/k682130712_1.jpg']"
[국내도서],최소한의 세계사,이다지 (지은이) | 프런트페이지 | 2026년 5월,"23,000","20,700원","['https://image.aladin.co.kr/product/39264/78/SpineShelf/K432138500_d.jpg', 'https://image.aladin.co.kr/product/39264/78/cover200/k432138500_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 공단기 심우철 하프 모의고사 Season 1 : 70+,심우철 (지은이) | 공단기(에스티유니타스) | 2026년 7월,"14,000","12,600원",['https://image.aladin.co.kr/product/39705/93/cover200/k342130590_1.jpg']
[국내도서],찍히지 않습니다 7,"코노시마 루카 (지은이), 심희정 (옮긴이) | ㈜소미미디어 | 2026년 8월","7,000","6,300원","['https://image.aladin.co.kr/product/39886/74/SpineShelf/K652130728_d.jpg', 'https://image.aladin.co.kr/product/39886/74/cover200/k682130728_1.jpg']"
[국내도서],알파벳 퍼즐러즈,"오야마 세이이치로 (지은이), 김은모 (옮긴이) | 톰캣 | 2026년 8월","18,000","16,200원","['https://image.aladin.co.kr/product/39717/3/SpineShelf/S333130707_d.jpg', 'https://image.aladin.co.kr/product/39717/3/cover200/k142130695_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],몫이 있는 사람,공근식 (지은이) | 웅진지식하우스 | 2026년 7월,"18,500","16,650원","['https://image.aladin.co.kr/product/39945/12/SpineShelf/8901300311_d.jpg', 'https://image.aladin.co.kr/product/39945/12/cover200/8901300311_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],사피엔스,"유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수) | 김영사 | 2023년 4월","26,800","24,120원","['https://image.aladin.co.kr/product/31424/4/SpineShelf/K482832219_d.jpg', 'https://image.aladin.co.kr/product/31424/4/cover200/k482832219_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],너를 아끼며 살아라,나태주 (지은이) | 더블북 | 2025년 6월,"18,500","16,650원","['https://image.aladin.co.kr/product/36538/54/SpineShelf/K782039949_d.jpg', 'https://image.aladin.co.kr/product/36538/54/cover200/k782039949_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],푸른 사자 와니니 10,"이현 (지은이), 오윤화 (그림) | 창비 | 2026년 7월","13,800","12,420원","['https://image.aladin.co.kr/product/39769/52/SpineShelf/8936443542_d.jpg', 'https://image.aladin.co.kr/product/39769/52/cover200/8936443542_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 공단기 선재국어 시간 단축 논리 훈련,"이선재, 선재국어연구소 (지은이) | 공단기(에스티유니타스) | 2026년 7월","19,000","17,100원",['https://image.aladin.co.kr/product/39741/2/cover200/k772130902_1.jpg']
[국내도서],불안의 책 (먼슬리 클래식),"페르난두 페소아 (지은이), 오진영 (옮긴이) | 문학동네 | 2026년 7월","18,000","16,200원","['https://image.aladin.co.kr/product/39657/24/SpineShelf/8954625762_d.jpg', 'https://image.aladin.co.kr/product/39657/24/cover200/8954625762_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],너와 장밋빛 매일 3 (트리플 특전판),"히로 치히로 (지은이), 이소연 (옮긴이) | 서울미디어코믹스(서울문화사) | 2026년 7월","6,000","5,400원",['https://image.aladin.co.kr/product/39873/60/cover200/k332130317_1.jpg']
[국내도서],노력이 무기가 될 때,김현주 (지은이) | 청림Life | 2026년 7월,"19,000","17,100원","['https://image.aladin.co.kr/product/39762/40/SpineShelf/K662130002_d.jpg', 'https://image.aladin.co.kr/product/39762/40/cover200/k662130002_1.jpg']"
[국내도서],한능검 한정판 : 한 권으로 정리하는 판서노트,문동균 (지은이) | 공단기(에스티유니타스) | 2026년 7월,"26,000","23,400원",['https://image.aladin.co.kr/product/39730/85/cover200/k352130803_1.jpg']
[국내도서],다크 심리학,다크 사이드 프로젝트 (지은이) | 어센딩 | 2025년 7월,"21,900","19,710원","['https://image.aladin.co.kr/product/36844/27/SpineShelf/K742030204_d.jpg', 'https://image.aladin.co.kr/product/36844/27/cover200/k742030204_1.jpg']"
[국내도서],신 퇴마록 신세편 2,이우혁 (지은이) | 반타 | 2026년 6월,"22,000","19,800원","['https://image.aladin.co.kr/product/39613/92/SpineShelf/K182130972_d.jpg', 'https://image.aladin.co.kr/product/39613/92/cover200/k182130972_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],주술회전 모듈로 1,"Yuji Iwasaki (지은이), 아쿠타미 게게 (원작), 이정운 (옮긴이) | 서울미디어코믹스(서울문화사) | 2026년 7월","7,000","6,300원",['https://image.aladin.co.kr/product/39896/29/cover200/k922130827_1.jpg']
[국내도서],황천의 츠가이 11 (더블특전판),아라카와 히로무 (지은이) | 대원씨아이(만화) | 2026년 7월,"6,500","5,850원","['https://image.aladin.co.kr/product/39841/91/SpineShelf/K022130115_d.jpg', 'https://image.aladin.co.kr/product/39841/91/cover200/k172130115_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],요리 군과 다시 만날 수는 없어! 1,"Sumio Hataya (지은이), 신혜선 (옮긴이) | 서울미디어코믹스(서울문화사) | 2026년 7월","6,500","5,850원",['https://image.aladin.co.kr/product/39830/94/cover200/k842130717_1.jpg']
[국내도서],해밀턴의 그리스로마신화,"이디스 해밀턴 (지은이), 서미석 (옮긴이) | 현대지성 | 2022년 4월","19,900","17,910원","['https://image.aladin.co.kr/product/29205/30/SpineShelf/K592837286_d.jpg', 'https://image.aladin.co.kr/product/29205/30/cover200/k592837286_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],뭉우리돌의 광야,김동우 (지은이) | 수오서재 | 2026년 7월,"27,000","24,300원","['https://image.aladin.co.kr/product/39769/31/SpineShelf/K942130109_d.jpg', 'https://image.aladin.co.kr/product/39769/31/cover200/k942130109_2.jpg']"
[국내도서],운명을 보는 기술,박성준 (지은이) | 페이지2(page2) | 2025년 10월,"18,800","16,920원","['https://image.aladin.co.kr/product/37480/92/SpineShelf/K252032010_d.jpg', 'https://image.aladin.co.kr/product/37480/92/cover200/k252032010_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],김미경의 플러스 휴먼,김미경 (지은이) | 어웨이크(AWAKE) | 2026년 5월,"19,500","17,550원","['https://image.aladin.co.kr/product/39349/9/SpineShelf/K582138437_d.jpg', 'https://image.aladin.co.kr/product/39349/9/cover200/k582138437_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],그 길 위에 우리가 있었다,이재갑 (지은이) | 책숲 | 2026년 8월,"23,000","20,700원","['https://image.aladin.co.kr/product/39823/61/SpineShelf/K862130719_d.jpg', 'https://image.aladin.co.kr/product/39823/61/cover200/k862130719_2.jpg']"
[국내도서],아픈 사람의 99%는 장누수다,강신용 (지은이) | 내몸사랑연구소 | 2026년 7월,"20,000","18,000원","['https://image.aladin.co.kr/product/39801/89/SpineShelf/K482130507_d.jpg', 'https://image.aladin.co.kr/product/39801/89/cover200/k482130507_1.jpg']"
[국내도서],"공시 6년 실패, 중소기업 김 대리는 어떻게 6년 만에 22억을 벌었나","22,000원 → 19,800원 (10%할인),  마일리지 1,100원",9.7,"19,800원","['https://image.aladin.co.kr/product/39905/69/SpineShelf/K732130029_d.jpg', 'https://image.aladin.co.kr/product/39905/69/cover200/k732130029_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],연금 투자 불패의 법칙,영주 닐슨 (지은이) | 다산북스 | 2026년 7월,"21,000","18,900원","['https://image.aladin.co.kr/product/39828/24/SpineShelf/K152130712_d.jpg', 'https://image.aladin.co.kr/product/39828/24/cover200/k152130712_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],달님이 바라시는 대로 9,"키우치 라무네 (지은이), 박소현 (옮긴이) | 서울미디어코믹스(서울문화사) | 2026년 8월","6,000","5,400원",['https://image.aladin.co.kr/product/40015/40/cover200/k202130239_1.jpg']
[국내도서],집밥력,홀썸모먼트 (지은이) | 세미콜론 | 2026년 6월,"32,500","29,250원","['https://image.aladin.co.kr/product/39609/83/SpineShelf/K282130875_d.jpg', 'https://image.aladin.co.kr/product/39609/83/cover200/k282130875_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],흉담,전건우 (지은이) | 래빗홀 | 2026년 4월,"17,000","15,300원","['https://image.aladin.co.kr/product/39128/54/SpineShelf/K232137457_d.jpg', 'https://image.aladin.co.kr/product/39128/54/cover200/k232137457_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],히스토리아 비테이,최재천 (지은이) | 지식서재 | 2026년 6월,"24,000","21,600원","['https://image.aladin.co.kr/product/39331/0/SpineShelf/K282138333_d.jpg', 'https://image.aladin.co.kr/product/39331/0/cover200/k282138333_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 심슨 구문,심우철 (지은이) | 공단기(에스티유니타스) | 2026년 4월,"18,000","16,200원",['https://image.aladin.co.kr/product/39137/30/cover200/k522137655_1.jpg']
[국내도서],엄마를 만나러 가는 길,"고먕 (원작), 김영리 (글) | 다산어린이 | 2026년 8월","15,000","13,500원","['https://image.aladin.co.kr/product/39998/41/SpineShelf/K912130033_d.jpg', 'https://image.aladin.co.kr/product/39998/41/cover200/k912130033_2.jpg']"
[국내도서],빨치산 리포트,"30,000원 → 27,000원 (10%할인),  마일리지 1,500원",2.0,"27,000원","['https://image.aladin.co.kr/product/39953/33/SpineShelf/K502130427_d.jpg', 'https://image.aladin.co.kr/product/39953/33/cover200/k502130427_1.jpg']"
[국내도서],"미래 과학 신문 몰입 읽기 ""나라면?""","박정란, 서재인 (지은이), 신병근 (그림), 이정모 (기획) | 슈크림북 | 2026년 8월","14,000","12,600원","['https://image.aladin.co.kr/product/39932/29/SpineShelf/K612130124_d.jpg', 'https://image.aladin.co.kr/product/39932/29/cover200/k612130124_1.jpg']"
[국내도서],이번 생은 가주가 되겠습니다 2부 6,"16,000원 → 14,400원 (10%할인),  마일리지 800원","3,250","14,400원",['https://image.aladin.co.kr/product/40013/87/cover200/k872130132_1.jpg']
[국내도서],완벽한 원시인,자청 (지은이) | 필로틱 | 2026년 3월,"22,000","19,800원","['https://image.aladin.co.kr/product/38694/70/cover200/k612136721_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),"데일 카네기 (지은이), 임상훈 (옮긴이) | 현대지성 | 2019년 10월","11,500","10,350원","['https://image.aladin.co.kr/product/20945/79/SpineShelf/S952638241_d.jpg', 'https://image.aladin.co.kr/product/20945/79/cover200/s652933016_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설) | 코너스톤 | 2017년 1월","3,200","2,880원","['https://image.aladin.co.kr/product/9871/8/SpineShelf/K042535550_d.jpg', 'https://image.aladin.co.kr/product/9871/8/cover200/k042535550_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],나는 소망한다 내게 금지된 것을,양귀자 (지은이) | 쓰다 | 2019년 4월,"15,000","13,500원","['https://image.aladin.co.kr/product/18936/52/SpineShelf/8998441071_d.jpg', 'https://image.aladin.co.kr/product/18936/52/cover200/8998441071_1.jpg']"
[국내도서],제자리에 있다는 것,"클레르 마랭 (지은이), 황은주 (옮긴이) | 에디투스 | 2025년 5월","16,800","15,120원","['https://image.aladin.co.kr/product/36383/21/SpineShelf/K372039679_d.jpg', 'https://image.aladin.co.kr/product/36383/21/cover200/k372039679_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],마음이 단단해지는 하루 한 문장 일본어 필사,안은미 (지은이) | 센시오 | 2026년 7월,"22,000","19,800원","['https://image.aladin.co.kr/product/39721/75/SpineShelf/K432130700_d.jpg', 'https://image.aladin.co.kr/product/39721/75/cover200/k432130700_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],오디세이아,"질리언 크로스 (지은이), 호메로스 (원작), 닐 패커 (그림), 윤영 (옮긴이), 장은수 (해설) | 더숲 | 2026년 7월","25,000","22,500원","['https://image.aladin.co.kr/product/39837/84/SpineShelf/K422130912_d.jpg', 'https://image.aladin.co.kr/product/39837/84/cover200/k422130912_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],소곤소곤 심리학 토크,"황양밍 (지은이), 이영주 (옮긴이) | 더페이지 | 2026년 8월","18,800","16,920원","['https://image.aladin.co.kr/product/39960/65/SpineShelf/K462130620_d.jpg', 'https://image.aladin.co.kr/product/39960/65/cover200/k462130620_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],순례 주택,유은실 (지은이) | 비룡소 | 2021년 3월,"15,000","13,500원","['https://image.aladin.co.kr/product/26674/56/SpineShelf/8949123495_d.jpg', 'https://image.aladin.co.kr/product/26674/56/cover200/8949123495_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],임신 출산 육아 대백과 (최신개정판),"19,500원 → 17,550원 (10%할인),  마일리지 970원","34,933","17,550원","['https://image.aladin.co.kr/product/39952/16/SpineShelf/891500860X_d.jpg', 'https://image.aladin.co.kr/product/39952/16/cover200/891500860x_1.jpg']"
[국내도서],희망,양귀자 (지은이) | 쓰다 | 2020년 6월,"19,800","17,820원","['https://image.aladin.co.kr/product/24415/15/SpineShelf/899844108X_d.jpg', 'https://image.aladin.co.kr/product/24415/15/cover200/899844108x_1.jpg']"
[국내도서],제철 행복,김신지 (지은이) | 인플루엔셜(주) | 2024년 4월,"17,800","16,020원","['https://image.aladin.co.kr/product/33842/43/SpineShelf/K982930091_d.jpg', 'https://image.aladin.co.kr/product/33842/43/cover200/k982930091_2.jpg']"
[국내도서],만능문장으로 끝내는 토익스피킹 시계토끼 올인원 기본서,제니쌤(차지영) (지은이) | 시계토끼 | 2025년 12월,"22,200","19,980원","['https://image.aladin.co.kr/product/38156/85/SpineShelf/K642034401_d.jpg', 'https://image.aladin.co.kr/product/38156/85/cover200/k642034401_1.jpg']"
[국내도서],신의 숨결에 날리는 깃털,"시그리드 누네즈 (지은이), 장성주 (옮긴이) | 복복서가 | 2026년 7월","18,500","16,650원","['https://image.aladin.co.kr/product/39782/99/SpineShelf/K082130205_d.jpg', 'https://image.aladin.co.kr/product/39782/99/cover200/k082130205_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],GACHIAKUTA 18 (한정판),"케이 우라나 (지은이), 히데요시 안도 (그림) | 학산문화사(만화) | 2026년 8월","44,000","39,600원",['https://image.aladin.co.kr/product/39997/49/cover200/k962130032_1.jpg']
[국내도서],번역의 철학,"데이미언 설스 (지은이), 홍한별 (옮긴이) | 유유 | 2026년 8월","22,000","19,800원","['https://image.aladin.co.kr/product/39725/96/SpineShelf/K312130704_d.jpg', 'https://image.aladin.co.kr/product/39725/96/cover200/k312130704_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],코끼리 스텔라 우주 비행사가 되다,"제임스 폴리 (지은이), 신수진 (옮긴이) | 비룡소 | 2023년 9월","16,800","15,120원","['https://image.aladin.co.kr/product/32538/72/SpineShelf/8949114399_d.jpg', 'https://image.aladin.co.kr/product/32538/72/cover200/8949114399_1.jpg']"
[국내도서],"얼지 마, 죽지 마, 사랑하게 될 거야",권혜영 (지은이) | 은행나무 | 2026년 6월,"18,000","16,200원","['https://image.aladin.co.kr/product/39637/86/SpineShelf/K872130179_d.jpg', 'https://image.aladin.co.kr/product/39637/86/cover200/k872130179_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],페넬로피아드,"마거릿 애트우드 (지은이), 김진준 (옮긴이) | 문학동네 | 2024년 8월","16,000","14,400원","['https://image.aladin.co.kr/product/34481/62/SpineShelf/K822932545_d.jpg', 'https://image.aladin.co.kr/product/34481/62/cover200/k822932545_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2120,"조지 와일솔 (지은이), 안민재 (옮긴이) | 프시케의숲 | 2026년 8월","30,000","27,000원","['https://image.aladin.co.kr/product/40015/73/SpineShelf/K432130230_d.jpg', 'https://image.aladin.co.kr/product/40015/73/cover200/k432130230_1.jpg']"
[국내도서],신 퇴마록 신세편 1,이우혁 (지은이) | 반타 | 2026년 6월,"22,000","19,800원","['https://image.aladin.co.kr/product/39613/89/SpineShelf/K052130972_d.jpg', 'https://image.aladin.co.kr/product/39613/89/cover200/k052130972_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],인간을 인간답게 만드는 불완전함에 대하여,"팀 하포드 (지은이), 윤영삼 (옮긴이) | 윌마 | 2026년 5월","22,000","19,800원","['https://image.aladin.co.kr/product/39153/34/SpineShelf/K062138867_d.jpg', 'https://image.aladin.co.kr/product/39153/34/cover200/k062138867_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],단절(들),"클레르 마랭 (지은이), 류재화 (옮긴이) | 사람in | 2026년 5월","17,000","15,300원","['https://image.aladin.co.kr/product/39401/87/SpineShelf/K892139972_d.jpg', 'https://image.aladin.co.kr/product/39401/87/cover200/k892139972_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],JLPT(일본어 능력시험) 한권으로 끝내기 N3,"이치우, 기타지마 치즈코, 김윤선, 도리이 마이코 (지은이) | 다락원 | 2026년 4월","28,000","25,200원","['https://image.aladin.co.kr/product/38900/89/SpineShelf/8927713354_d.jpg', 'https://image.aladin.co.kr/product/38900/89/cover200/8927713354_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인","28,000원 → 25,200원 (10%할인),  마일리지 1,400원",10.0,"25,200원","['https://image.aladin.co.kr/product/39243/86/SpineShelf/K182138105_d.jpg', 'https://image.aladin.co.kr/product/39243/86/cover200/k182138105_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],악마는 열심히 산다,김화진 (지은이) | 민음사 | 2026년 6월,"15,000","13,500원","['https://image.aladin.co.kr/product/39617/18/SpineShelf/8937477475_d.jpg', 'https://image.aladin.co.kr/product/39617/18/cover200/8937477475_1.jpg']"
[국내도서],의자 게임,"유소정 (지은이), 오삼이 (그림) | 비룡소 | 2026년 6월","15,000","13,500원","['https://image.aladin.co.kr/product/39665/60/SpineShelf/8949136058_d.jpg', 'https://image.aladin.co.kr/product/39665/60/cover200/8949136058_1.jpg']"
