카테고리,제목,저자,정가,할인가,이미지
[국내도서],사고외주,홍진기 (지은이) | 어크로스 | 2026년 6월,"15,000","13,500원","['https://image.aladin.co.kr/product/39608/96/SpineShelf/K552130873_d.jpg', 'https://image.aladin.co.kr/product/39608/96/cover200/k552130873_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],버서스 6,"아즈마 쿄타로 (지은이), ONE (원작), bose (구성) | 학산문화사(만화) | 2026년 8월","6,000","5,400원",['https://image.aladin.co.kr/product/40024/53/cover200/k852130336_1.jpg']
[국내도서],소년이 온다,한강 (지은이) | 창비 | 2014년 5월,"15,000","13,500원","['https://image.aladin.co.kr/product/4086/97/SpineShelf/8936434128_d.jpg', 'https://image.aladin.co.kr/product/4086/97/cover200/8936434128_2.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝),ETS (엮은이) | (주)YBM(와이비엠) | 2023년 12월,"19,800","17,820원","['https://image.aladin.co.kr/product/33010/92/SpineShelf/8917239498_d.jpg', 'https://image.aladin.co.kr/product/33010/92/cover200/8917239498_2.jpg']"
[국내도서],처음 읽는 그리스 로마 신화 14,"최설희 (지은이), 한현동 (그림), 정수영 (구성) | 미래엔아이세움 | 2026년 3월","16,800","15,120원","['https://image.aladin.co.kr/product/38856/17/SpineShelf/K902137902_d.jpg', 'https://image.aladin.co.kr/product/38856/17/cover200/k902137902_1.jpg']"
[국내도서],흔한남매 이무기 4,"흔한남매 (원작), 이종혁 (글), 도니패밀리 (그림), 흔한컴퍼니 (감수) | 미래엔아이세움 | 2026년 7월","16,800","15,120원","['https://image.aladin.co.kr/product/39875/33/SpineShelf/K292130411_d.jpg', 'https://image.aladin.co.kr/product/39875/33/cover200/k292130411_2.jpg']"
[국내도서],운명의 사람을 만나는 이야기 8,아나신 (지은이) | 학산문화사(만화) | 2026년 8월,"6,000","5,400원",['https://image.aladin.co.kr/product/39978/22/cover200/k302130624_1.jpg']
[국내도서],대한민국 부의 감각,"22,000원 → 19,800원 (10%할인),  마일리지 1,100원","7,280","19,800원","['https://image.aladin.co.kr/product/39991/62/SpineShelf/K072130930_d.jpg', 'https://image.aladin.co.kr/product/39991/62/cover200/k072130930_1.jpg']"
[국내도서],루시드 드림 연구실,"맹수상점(Beasties Club, 이푸) (지은이) | 은행나무 | 2026년 8월","22,000","19,800원","['https://image.aladin.co.kr/product/40037/19/SpineShelf/K262130749_d.jpg', 'https://image.aladin.co.kr/product/40037/19/cover200/k262130749_1.jpg']"
[국내도서],흔한남매의 흔한 호기심 15,"흔한남매 (원작), 안치현 (글), 유난희 (그림), 이정모, 흔한컴퍼니 (감수) | 미래엔아이세움 | 2026년 6월","16,800","15,120원","['https://image.aladin.co.kr/product/39664/72/SpineShelf/K322130298_d.jpg', 'https://image.aladin.co.kr/product/39664/72/cover200/k322130298_1.jpg']"
[국내도서],일 마키아벨리,"니콜로 마키아벨리 (지은이), 어나니머스 (옮긴이) | RISE(떠오름) | 2026년 7월","17,800","16,020원","['https://image.aladin.co.kr/product/39775/48/SpineShelf/K932130107_d.jpg', 'https://image.aladin.co.kr/product/39775/48/cover200/k932130107_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],2027 공단기 소방단기 써니 행정법총론 핵심집약,박준철 (지은이) | 공단기(에스티유니타스) | 2026년 8월,"34,000","30,600원","['https://image.aladin.co.kr/product/39928/85/SpineShelf/S752130615_d.jpg', 'https://image.aladin.co.kr/product/39928/85/cover200/k232130027_2.jpg']"
[국내도서],김동희 세계관 호기심 환장 RPG,"김동희 세계관 (원작), 박종은 (글), 이정태 (그림) | 아울북 | 2026년 7월","16,900","15,210원","['https://image.aladin.co.kr/product/39841/90/SpineShelf/K092130115_d.jpg', 'https://image.aladin.co.kr/product/39841/90/cover200/k092130115_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],지리의 기원,"제리 브로턴 (지은이), 박세연 (옮긴이) | 알에이치코리아(RHK) | 2026년 7월","19,800","17,820원","['https://image.aladin.co.kr/product/39828/81/SpineShelf/8925568497_d.jpg', 'https://image.aladin.co.kr/product/39828/81/cover200/8925568497_1.jpg']"
[국내도서],EBS 왕초보 영어 (2026 하편),마스터유진 (지은이) | 한국교육방송공사(기타) | 2026년 7월,"16,000","14,400원","['https://image.aladin.co.kr/product/39784/44/SpineShelf/K362130309_d.jpg', 'https://image.aladin.co.kr/product/39784/44/cover200/k362130309_1.jpg']"
[국내도서],숨결이 바람 될 때 (10주년 에디션),"폴 칼라니티 (지은이), 이종인 (옮긴이) | 흐름출판 | 2026년 8월","19,800","17,820원","['https://image.aladin.co.kr/product/39905/30/SpineShelf/8965968380_d.jpg', 'https://image.aladin.co.kr/product/39905/30/cover200/8965968380_1.jpg']"
[국내도서],사춘기 엄마의 오장육부,나민애 (지은이) | 서교책방 | 2026년 4월,"17,800","16,020원","['https://image.aladin.co.kr/product/39067/21/SpineShelf/K662137858_d.jpg', 'https://image.aladin.co.kr/product/39067/21/cover200/k662137858_1.jpg']"
[국내도서],2027 선재국어 독해야 산다 1일 1독,이선재 (지은이) | 수비니겨 | 2026년 6월,"17,000","15,300원","['https://image.aladin.co.kr/product/39595/88/SpineShelf/K602130665_d.jpg', 'https://image.aladin.co.kr/product/39595/88/cover200/k602130665_1.jpg']"
[국내도서],우리는 가장 밝은 밤에 헤어졌다,"표도르 도스토옙스키 (지은이), 김희숙 (옮긴이) | 윌마 | 2026년 6월","17,800","16,020원","['https://image.aladin.co.kr/product/39581/37/SpineShelf/K932139348_d.jpg', 'https://image.aladin.co.kr/product/39581/37/cover200/k932139348_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],어젯밤,"15,000원 → 13,500원 (10%할인),  마일리지 750원",8.0,"13,500원","['https://image.aladin.co.kr/product/39876/13/SpineShelf/S682130138_d.jpg', 'https://image.aladin.co.kr/product/39876/13/cover200/8960900745_2.jpg']"
[국내도서],이향인,"라미 카민스키 (지은이), 최지숙 (옮긴이) | 21세기북스 | 2026년 3월","16,900","15,210원","['https://image.aladin.co.kr/product/38793/3/SpineShelf/K292137262_d.jpg', 'https://image.aladin.co.kr/product/38793/3/cover200/k292137262_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],여덟 단어,박웅현 (지은이) | 인티N | 2023년 6월,"17,000","15,300원","['https://image.aladin.co.kr/product/31815/57/SpineShelf/K672833419_d.jpg', 'https://image.aladin.co.kr/product/31815/57/cover200/k672833419_1.jpg', 'https://image.aladin.co.kr/img/search/icon_arrow.jpg']"
[국내도서],목소리가 들린다,최정원 (지은이) | 창비 | 2026년 8월,"16,000","14,400원","['https://image.aladin.co.kr/product/40000/48/SpineShelf/8936431765_d.jpg', 'https://image.aladin.co.kr/product/40000/48/cover200/8936431765_1.jpg']"
